parameterization_id,SeedYr HIGH,BaseInfectivity,SexualDebutAgeFemaleWeibullScale,SexualDebutAgeFemaleWeibullHeterogeneity,SexualDebutAgeMaleWeibullScale,SexualDebutAgeMaleWeibullHeterogeneity,TransitoryFormationRate,InfmormalFormationRate,MaritalFormationRate,MaleToFemaleYoung,MaleToFemaleOld,TransitoryCondomMid,TransitoryCondomRate,TransitoryCondomMax,InformalCondomMid,InformalCondomRate,InformalCondomsMax,MaritalCondomMid,MaritalCondomRate,MaritalCondomMax,RiskAssortivity,ProbExtraTransitoryMaleLow,ProbExtraTransitoryMaleMedium,ProbExtraTransitoryFemaleLow,ProbExtraTransitoryFemaleMedium,ProbExtraInformalMaleLow,ProbExtraInformalFemaleLow,MaximumTransitoryMaleLow,MaximumTransitoryFemaleLow,MaximumInformalMaleLow,MaximumInformalFemaleLow,ProbExtraInformalMaleMedium,ProbExtraInformalFemaleMedium,MaximumTransitoryMaleMedium,MaximumTransitoryFemaleMedium,MaximumInformalMaleMedium,MaximumInformalFemaleMedium,MaximumMaritalMaleMedium,MaximumMaritalFemaleMedium,InformalDurationHeterogeneity,Homa_BayTransitoryCondomsMax,Homa_BayInformalCondomsMax,Homa_BayPropLowRisk,KisiiTransitoryCondomsMax,KisiiInformalCondomsMax,KisiiPropLowRisk,KisumuTransitoryCondomsMax,KisumuInformalCondomsMax,KisumuPropLowRisk,MigoriTransitoryCondomsMax,MigoriInformalCondomsMax,MigoriPropLowRisk,NyamiraTransitoryCondomsMax,NyamiraInformalCondomsMax,NyamiraPropLowRisk,SiayaTransitoryCondomsMax,SiayaInformalCondomsMax,SiayaPropLowRisk,PreARTLinkMinimum,PreARTLinkMaximum,PreARTLinkMid,ARTLinkMax,ARTLinkMid,run_number,iteration_number,sim_id,likelihood
140,1982,0.000476727,15.76186294,0.084048987,15.20733474,0.267184861,0.002546743,0.00021656,6.43E-05,3.35181162,2.695257881,1990.164006,0,0.077448737,2005,2.954106596,0.255406486,1992.874854,0.487341422,0.245235137,0.457596788,0.007770738,0.637419395,0.082012577,0.676000654,0.519418766,0.083528971,1.643435365,1.643435365,1.761427266,1.761427266,0.419291988,0.479631274,2.105062708,2.105062708,2.452906687,2.452906687,0.965504368,0.965504368,0.75,0.43208629,0.26821671,0.544195802,0.488963861,0.278414432,0.753645475,0.119543166,0.074895289,0.605171468,0.164537015,0.140976014,0.742068368,0.313903755,0.242824006,0.5,0.449519721,0.251490784,0.520475298,0.331495923,0.442194149,1999.6273,0.974465619,1999.610487,23500,-1,,1
141,1982,0.000790054,16.3245877,0.052750791,15.47667003,0.048696131,0.001219208,9.13E-05,6.37E-05,2.175673767,2.695257881,1999.749163,0.818138367,0.2342892,2003.75683,2.140601278,0.086290543,1996.876275,1.479944776,0.201516391,0.562909919,0.121870175,0.692148704,0.126410116,0.616749711,0.26215696,0.482167762,1.639949304,1.639949304,1.273351316,1.273351316,0.365964603,0.427880873,3,3,2.449081175,2.449081175,1.013212629,1.013212629,0.75,0.150140785,0.042764491,0.502516194,0.372686177,0.151777029,0.867203475,0.266714447,0.194881086,0.555330069,0.332093017,0.173245968,0.778865741,0.209824586,0.241366021,0.718444436,0.323555896,0.207227986,0.599885802,0.602334098,0.661842814,2007.685408,0.881742761,1997.348183,11322,-1,,1
142,1982,0.000559396,15.73371106,0.069459562,15.89217375,0.247001384,0.002239952,0.00013272,6.49E-05,3.092218853,2.695257881,1993.880995,0,0.080325222,2003.296332,2.597326548,0.107463043,1990.098983,1.526879094,0.219811571,0.43016546,0.009427332,0.778906264,0.09470717,0.553024255,0.346340658,0.294248771,1.956441493,1.956441493,1.78755841,1.78755841,0.438968384,0.5,2.632673916,2.632673916,3,3,1.207334241,1.207334241,0.75,0.358000577,0.11217234,0.596967438,0.442288446,0.187730978,0.74241836,0.143499736,0.163963547,0.744623874,0.233269595,0.147992453,0.795967488,0.39625305,0.337359215,0.834701229,0.437309436,0.198474091,0.566012113,0.33152798,0.570135268,2001.222422,0.986689839,2003.59538,51251,-1,,1
143,1982,0.000822834,15,0.04,15,0.235466143,0.001526824,9.13E-05,5.48E-05,3.00319079,2.695257881,1997.791004,0.043993341,0.095331485,1999.673275,2.061601292,0.058591589,1993.800578,2.333588131,0.245034572,0.718847251,0.018456831,0.797938869,0.072677258,0.698046989,0.309534726,0.347628023,1.762158522,1.762158522,1.500064893,1.500064893,0.308884868,0.441208969,2.999233117,2.999233117,2.713388237,2.713388237,1.03168261,1.03168261,0.75,0.201986882,0.154529191,0.620027538,0.5,0.261034128,0.828039499,0.312424912,0.246727956,0.703339088,0.284292143,0.221140535,0.814778919,0.368089139,0.38426735,0.83654007,0.370821883,0.218904317,0.545869744,0.451922037,0.525795889,1999.812578,0.978154817,1999.612179,27982,-1,,1
144,1982,0.000652019,17.62838309,0.119759351,16.12813335,0.04,0.001415746,0.000458229,6.14E-05,1.06990033,2.695257881,2001.179664,2.01792917,0.245495797,1999.969908,1.047735458,0.19343518,1995.047343,1.240504416,0.194152835,0.552597597,0.298800538,0.666253165,0.036974701,0.637993439,0.260897031,0.37174904,1.811304333,1.811304333,1.195614799,1.195614799,0.382655268,0.314071952,2.881659108,2.881659108,2.392361989,2.392361989,1.156743705,1.156743705,0.75,0.291440635,0.125389512,0.570932029,0.303824951,0.130413017,0.942646411,0.353437562,0.222375358,0.754752258,0.307288702,0.159803327,0.867299299,0.27172255,0.15658441,0.866359298,0.324517419,0.20604922,0.630521016,0.659608016,0.985937648,2002.878685,1,1999.555535,57698,-1,,1
145,1982,0.000849707,15.13181163,0.04,15.0926573,0.226490903,0.001311347,9.13E-05,5.48E-05,2.849180178,2.695257881,1995.622865,0.179083233,0.230659587,2001.990582,2.080032957,0.019344629,1996.020021,1.853678894,0.277335564,0.648706895,0.054386239,0.796080257,0.104062601,0.706412171,0.275939524,0.470937167,1.77667086,1.77667086,1.300704072,1.300704072,0.372202218,0.440106001,3,3,2.74018623,2.74018623,1.025094321,1.025094321,0.75,0.109235033,0.078652197,0.555765011,0.492010547,0.147759233,0.924349557,0.359740382,0.212072436,0.630553242,0.336130394,0.265349399,0.875626021,0.330733547,0.397970946,0.74651882,0.358388756,0.251943293,0.51422761,0.361027387,0.504255948,1999.482225,0.911409525,1995.32296,30829,-1,,1
146,1982,0.000593083,15.66193738,0.04,16.33549321,0.069720485,0.001298054,0.000353533,5.48E-05,2.171258609,2.695257881,2000.818422,0,0.219990032,2002.970936,2.283890596,0.073215154,1996.943888,1.442234682,0.18476341,0.557981235,0.151721465,0.723395857,0.113262555,0.643862556,0.221517566,0.470747411,1.774890612,1.774890612,1.142991449,1.142991449,0.420571486,0.415678894,2.896853445,2.896853445,2.25534125,2.25534125,1.055285523,1.055285523,0.75,0.198485463,0.067961773,0.545526973,0.359790468,0.149187564,0.926080084,0.255315426,0.213479415,0.632885519,0.293008388,0.220412451,0.793437549,0.23149596,0.253817285,0.709568031,0.301040663,0.246559678,0.580320548,0.64472399,0.730396464,2008.665843,0.946557963,1996.839088,53131,-1,,1
147,1982,0.000633924,15.22673111,0.041859174,15.08805917,0.281650342,0.001811407,9.13E-05,6.46E-05,1.761465402,2.695257881,1997.217128,0,0.031197428,2003.222282,2.039135902,0.218075347,1995.172924,0.100756751,0.3,0.339809598,0.111192012,0.544792976,0.114048798,0.540611636,0.492740623,0.018499646,1.715409604,1.715409604,1.66993169,1.66993169,0.310698058,0.475889287,2.583441702,2.583441702,3,3,1.04959106,1.04959106,0.75,0.408046496,0.197798211,0.501450487,0.5,0.234776022,0.739426389,0.190292732,0.192932828,0.617758879,0.09042469,0.03404196,0.745418514,0.333935058,0.344957912,0.638257663,0.481759269,0.200741048,0.514927207,0.018778299,0.86508483,2001.490288,1,1995.978931,64553,-1,,1
148,1982,0.000891811,15.77395296,0.04,15,0.148834279,0.001161912,9.13E-05,6.97E-05,2.931169726,2.695257881,1996.379302,0.058860594,0.211559902,2003.483211,2.146369359,0.049355838,1995.464081,2.182066546,0.269803932,0.54015433,0.003203989,0.8,0.088308628,0.797575379,0.276519229,0.5,1.854871811,1.854871811,1.297374887,1.297374887,0.402097981,0.453650223,2.958960161,2.958960161,2.538183681,2.538183681,0.9,0.9,0.75,0.145701903,0.055804383,0.587182245,0.486808055,0.149299505,0.90495256,0.349464658,0.175705535,0.636426428,0.334020518,0.218339736,0.89267619,0.374313691,0.4,0.777242579,0.301936898,0.260644831,0.5,0.40333112,0.460660452,2002.497642,0.940443294,1996.769579,39779,-1,,1
149,1982,0.000619651,15.2346143,0.04,15.4514729,0.192983392,0.001619537,0.000156961,7.32E-05,1.887406383,2.695257881,1997.225224,0.292263189,0.11566429,2001.000293,2.072650021,0.128643139,1994.191261,2.400756245,0.228715996,0.510685918,0.03654745,0.682126743,0.124527462,0.649337795,0.264584444,0.374792587,1.826373283,1.826373283,1.576630078,1.576630078,0.391514006,0.466118989,2.775586078,2.775586078,2.861385176,2.861385176,1.061539679,1.061539679,0.75,0.203662027,0.159609669,0.573899431,0.457932959,0.207431404,0.707294203,0.284557942,0.260288424,0.635702787,0.285806059,0.158603124,0.798818306,0.42843482,0.348981233,0.810346853,0.32915247,0.255433313,0.58157058,0.377710598,0.446736993,1998.909186,0.876729197,2002.221638,15057,-1,,1
